,,,,,,Iteration,,1,,2,,3,,4,,5,,6,
ID,Task,Risks,Description,Countermeasure,Date,Type,IMP,PRB,MAG,PRB,MAG,PRB,MAG,PRB,MAG,PRB,MAG,PRB,MAG
1,Team building and getting to know each other,Lack of team cohesion,"Insufficient team bonding may lead to communication breakdowns and conflicts, hindering effective collaboration.",Conduct team-building activities early on,13.11.2023,Team Dynamic,5,80%,4,60%,3,20%,1,10%,"0,5",5%,"0,25",2%,"0,1"
2,Distribution of roles,Misalignment of skills and responsibilities,Inadequate alignment of team members' skills with roles may result in inefficiencies and hinder task completion.	,Clearly define roles and responsibilities,13.11.2023,Resource Allocation,4,70%,"2,8",50%,2,25%,1,20%,"0,8",7%,"0,28",5%,"0,2"
3,Agreement on a common working method,Differences in work preferences and styles,"Divergent work preferences and styles may impede collaboration, affecting overall efficiency and work quality.	",Establish a team agreement for working methods,13.11.2023,Team Dynamic,3,60%,"1,8",30%,"0,9",15%,"0,45",10%,"0,3",5%,"0,15",2%,"0,06"
4,Getting to know the task,Incomplete understanding of the project scope,Team members not fully comprehending the project scope may lead to incorrect assumptions and incomplete work.	,Conduct thorough project briefings and training,13.11.2023,Scope Definition,5,80%,4,50%,"2,5",10%,"0,5",5%,"0,25",2%,"0,1",2%,"0,1"
5,Contact and meeting with client,Difficulty in scheduling and coordinating meetings,Challenges in scheduling meetings with the client may cause delays in gathering essential project requirements.,Use scheduling tools and establish clear communication,20.11.2023,Communication,4,,0,80%,"3,2",40%,"1,6",20%,"0,8",5%,"0,2",2%,"0,08"
6,Contact and meeting with coach,Coach availability and communication challenges,Challenges in coach availability and communication may hinder guidance and support for the team.,Establish a communication schedule with the coach,20.11.2023,Stakeholder Engagement,3,,0,70%,"2,1",50%,"1,5",25%,"0,75",10%,"0,3",7%,"0,21"
7,Development and finalization of the vision,Lack of clarity in the project vision,Insufficient clarity in the project vision may lead to misunderstandings and divergent expectations.,Conduct thorough discussions to clarify the project vision,20.11.2023,Project Planning,3,,0,80%,"2,4",30%,"0,9",15%,"0,45",7%,"0,21",5%,"0,15"
8,Creation of a rough graphic prototype,Technical challenges in creating the prototype,Technical difficulties in creating the prototype may lead to delays and impact the demonstration of key functionalities.,Conduct a feasibility analysis for the chosen technology,27.11.2023,Technical,4,,0,,0,80%,"3,2",50%,2,10%,"0,4",5%,"0,2"
9,Workshop for all with Github,Limited understanding of Github among team members,Limited understanding of Github may hinder effective collaboration.,Provide Github tutorials and training sessions,28.11.2023,Tool Adoption,3,,0,,0,70%,"2,1",60%,"1,8",20%,"0,6",10%,"0,3"
10,Creation of the use case model,Ambiguity in use-case requirements,Ambiguous use-case requirements may lead to misunderstandings and result in an inadequate use-case model.,Collaborate closely with stakeholders for clear requirements,30.11.2023,Requirements,5,,0,,0,80%,4,50%,"2,5",10%,"0,5",5%,"0,25"
11,Elaboration of UC01,Lack of detailed information for UC01,Insufficient detailed information for UC01 may lead to incomplete work and potential misalignment with stakeholder expectations.,Schedule sessions with domain experts for information gathering,01.12.2023,Requirements,3,,0,,0,60%,"1,8",40%,"1,2",17%,"0,51",10%,"0,3"
12,Elaboration of UC03,Misinterpretation of UC03 requirements,Misinterpretation of UC03 requirements may lead to incorrect use-case specifications and impact the overall project.,Establish regular communication channels with stakeholders,05.12.2023,Requirements,4,,0,,0,70%,"2,8",30%,"1,2",15%,"0,6",10%,"0,4"
13,Further education for all with Github,Resistance to adopting Github as a collaboration tool,Resistance to Github adoption may hinder effective collaboration and version control.,Communicate the benefits of Github for collaboration and version control,11.12.2023,Tool Adoption,3,,0,,0,80%,"2,4",50%,"1,5",20%,"0,6",5%,"0,15"
14,Workshop for developers and testers,Limited collaboration and understanding between developers and testers,Limited collaboration and understanding between developers and testers may result in inefficient testing processes.,Organize joint training sessions for developers and testers,11.12.2023,Team Dynamic,4,,0,,0,,0,60%,"2,4",15%,"0,6",10%,"0,4"
15,Preparation of the risk list,Overlooking potential project risks,Failure to identify potential risks may lead to inadequate risk management and project disruptions.,Engage the entire team in a collaborative risk identification session,11.12.2023,Project Planning,3,,0,,0,,0,80%,"2,4",30%,"0,9",20%,"0,6"
16,Frontend development,Errors in frontend development,Issues in frontend development may lead to a suboptimal user interface and user experience.,Have a backup plan with alternative frontend frameworks or approaches,18.12.2023,Technical,5,,0,,0,,0,80%,4,10%,"0,5",10%,"0,5"
17,Backend development,Errors in backend development,Issues in backend development may lead to system instability and performance issues.,Have a rollback plan and alternative backend solutions,18.12.2023,Technical,5,,0,,0,,0,80%,4,20%,1,10%,"0,5"
18,Team member leaving the team,Unexpected departure of a team member,A team member leaving the team unexpectedly can disrupt the workflow and impact project knowledge and expertise.,Cross-train team members to mitigate the impact,20.12.2023,Team Dynamic,5,,0,,0,,0,,0,90%,"4,5",60%,3
19,The role of the analyst must be taken on,Elimination analysts in the 2nd semester,"Due to the fact that the industrial engineers are only at SE1, our last analyst at the moment will be omitted.",A team member must be entrusted with the analyst's tasks,22.1.2024,Team Dynamic,5,,0,,0,,0,,0,,0,90%,"4,5"
,,,,,,,,,,,,,,,,,,,
,,,,,,Ø,,,"3,15",,"2,3",,"1,79",,"1,58",,"0,68",,"0,42"
